longitude
4.904
32.859
12.945
23.727
-5.930
2.168
13.405
7.447
-2.935
4.357
19.040
18.068
-3.168
6.96
12.568
-8.475
-6.260
-3.188
11.255
8.682
6.637
-16.908
11.974
9.987
24.938
1.482
30.523
10.466
-9.139
-0.127
-3.703
3.017
-2.242
5.369
-15.586
9.190
11.582
14.268
-2.417
10.752
2.352
14.437
-21.942
24.603
12.496
-31.127
-16.251
-6.215
23.321
18.068
24.753
16.373
21.012
-1.07
8.541
