latitude
52.367
39.933
56.134
37.983
54.597
41.387
52.520
46.948
43.263
50.847
47.497
59.329
51.483
50.937
55.676
51.898
53.349
55.953
43.7696
50.110
43.254
32.650
57.708
53.548
60.169
39.020
50.450
61.115
38.722
51.507
40.416
39.695
53.480
43.296
27.760
45.464
48.135
40.851
43.034
59.913
48.856
50.075
64.146
56.879
41.902
39.453
28.463
57.273
42.697
59.329
59.437
18.208
52.229
53.961
47.376
